Title	Contributors	Expected
Migrate & Update Task Mgmt Info	rathermercurial.eth	
Migrate & Update Task Mgmt Info	rathermercurial.eth	
Review multisig signers and possibly increase number of signers	ananth.eth	
Review multisig signers and possibly increase number of signers	ananth.eth	
Onboarding Workstream Planning	heenal.eth,Filsan Farah	Feb 8, 2024
Onboarding Workstream Planning	heenal.eth,Filsan Farah	Feb 8, 2024
Knowledge Stewardship Workstream Planning	heenal.eth,ananth.eth,rathermercurial.eth	Feb 8, 2024
Knowledge Stewardship Workstream Planning	heenal.eth,ananth.eth,rathermercurial.eth	Feb 8, 2024
Social Impact Workstream Planning	heenal.eth,Filsan Farah,michellebaldwin.eth	Feb 8, 2024
Social Impact Workstream Planning	heenal.eth,Filsan Farah,michellebaldwin.eth	Feb 8, 2024
DAO Primitives Workstream Planning	yeoro.eth,ananth.eth,rathermercurial.eth	
DAO Primitives Workstream Planning	yeoro.eth,ananth.eth,rathermercurial.eth	
Update & Review of Philanthropy Workstream Outline	michellebaldwin.eth,Filsan Farah	Feb 15, 2024
Update & Review of Philanthropy Workstream Outline	michellebaldwin.eth,Filsan Farah	Feb 15, 2024
SB Onboarding Scoping & Documentation		
SB Onboarding Scoping & Documentation		
SuperBenefit Content Audit (June 2024)	rathermercurial.eth,heenal.eth,ananth.eth	
SuperBenefit Content Audit (June 2024)	rathermercurial.eth,heenal.eth,ananth.eth	
Migrate Clarity Tags to Charmverse (Task)	lyndonb.eth	
Migrate Clarity Tags to Charmverse (Task)	lyndonb.eth	
Populate Key Lexicon Entries (Task)		Jul 14, 2024
Populate Key Lexicon Entries (Task)		Jul 14, 2024
Update Operational Knowledge Resources (Task)		Aug 31, 2024
Update Operational Knowledge Resources (Task)		Aug 31, 2024
Update info hub (Task)	lyndonb.eth	Jun 18, 2024
Update info hub (Task)	lyndonb.eth	Jun 18, 2024
Playbook Discovery Feedback	moreReese,michellebaldwin.eth,heenal.eth,Filsan Farah,ananth.eth,yeoro.eth,rathermercurial.eth	
Playbook Discovery Feedback	moreReese,michellebaldwin.eth,heenal.eth,Filsan Farah,ananth.eth,yeoro.eth,rathermercurial.eth	
Playbook Discovery Report (Task)	moreReese	
Playbook Discovery Report (Task)	moreReese	
Update Community Knowledge Resources (Task)		Jul 31, 2024
Update Community Knowledge Resources (Task)		Jul 31, 2024
Migrate & Update web3 Library (Task)	manuelagarzon,heenal.eth	Jun 29, 2024
Migrate & Update web3 Library (Task)	manuelagarzon,heenal.eth	Jun 29, 2024
Update & Review Social Impact Paper	Filsan Farah,manuelagarzon,rathermercurial.eth,heenal.eth,michellebaldwin.eth	Jul 11, 2024
Update & Review Social Impact Paper	Filsan Farah,manuelagarzon,rathermercurial.eth,heenal.eth,michellebaldwin.eth	Jul 11, 2024
Salons/Gatherings Scoping (Task)	shannonlanigan.eth,michellebaldwin.eth,rathermercurial.eth,Filsan Farah	
Salons/Gatherings Scoping (Task)	shannonlanigan.eth,michellebaldwin.eth,rathermercurial.eth,Filsan Farah	
Social Impact Paper - review Manuela's section 	manuelagarzon,Filsan Farah,yeoro.eth	Jul 8, 2024
Social Impact Paper - review Manuela's section 	manuelagarzon,Filsan Farah,yeoro.eth	Jul 8, 2024
Community Weaver Rolecrafting	shannonlanigan.eth,toughtoosk,michellebaldwin.eth,rathermercurial.eth,heenal.eth	
Community Weaver Rolecrafting	shannonlanigan.eth,toughtoosk,michellebaldwin.eth,rathermercurial.eth,heenal.eth	
Experiment Coordination - RPP	yeoro.eth,rathermercurial.eth	Dec 4, 2024
Experiment Coordination - RPP	yeoro.eth,rathermercurial.eth	Dec 4, 2024
First Draft of DAO Primitives Documentation (Task)	yeoro.eth,ananth.eth,rathermercurial.eth	
First Draft of DAO Primitives Documentation (Task)	yeoro.eth,ananth.eth,rathermercurial.eth	
Core Team Collaboration - RPP	heenal.eth,Filsan Farah,ananth.eth,michellebaldwin.eth,yeoro.eth,rathermercurial.eth	
Core Team Collaboration - RPP	heenal.eth,Filsan Farah,ananth.eth,michellebaldwin.eth,yeoro.eth,rathermercurial.eth	
